Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - the feathers emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Feathers.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At The Feathers?,15. Stay At The Feathers In The Future?,16. Recommend The Feathers To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At The Feathers?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Have Breakfast With Us?,28. Where Did You Dine? - Restaurant,29. Where Did You Dine? - Courtyard Gin Bar,30. Where Did You Dine? - Private Dining,31. The Food Was Excellent,32. The Service Was Friendly & Professional,33. The Overall Dining Experience Was Exceptional,34. The Breakfast Was Very Good,35. Do You Have Any Other Comments Regarding Your Dining Experience?,36. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),37. We Were Able To Access The Internet Easily,38. Our Business Meeting Requirements Were Met,39. Do You Have Any Other Comments Regarding The Feathers As A Business Venue?,40. Were Polite And Courteous At All Times,41. Were Attentive To My Needs,42. Made Me Feel Well Looked After,43. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,44. You Were Sad To Leave,45. The Receptionist Was Helpful With Your Checkout,46. The Final Account Was Accurate,47. How Did Your Experience With Us Meet With Your Expectations?,48. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,49. Do You Have Any Further Comments?,50. What Is Your Gender?,51. Which Of The Following Ranges Includes Your Age?,52. Would You Like To Receive Any Further Information From The Feathers Regarding? - Sleep,53. Would You Like To Receive Any Further Information From The Feathers Regarding? - Meetings & Business,54. Would You Like To Receive Any Further Information From The Feathers Regarding? - Wine & Dine,55. Would You Like To Receive Any Further Information From The Feathers Regarding? - Weddings,56. Would You Like To Receive Any Further Information From The Feathers Regarding? - Occassions,57. Would You Like To Receive Any Further Information From The Feathers Regarding? - Events,58. Would You Like To Receive Any Further Information From The Feathers Regarding? - Christmas,59. Would You Like To Receive Any Further Information From The Feathers Regarding? - Special Offers,60. Please Complete The Following (Optional):,61. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
267,Complete,13/07/2013 13:12,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Www.Feathers.Co.Uk,Fair,Maybe,Maybe,,Agree,Agree,Neither Agree Nor Disagree,,Neither Agree Nor Disagree,Agree,Agree,,Yes,Yes,Restaurant,Courtyard Gin Bar,,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,The Food At Lunch Was Disappointing As The Tuna Lacked Flavour And Was A Very Small Portion For The Price. Also While The Older Server We Had Was Very Good  The Younger Staff Did Not Know The Food On The Menu And Often Got Our Order Wrong (Lunch And Breakfast).,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Complete,27/07/2013 20:45,Private Celebration,,,,,,,,,,,Other: Late Rooms . Com,Other: Booked With Late Rooms . Com,Poor,Definitely Not,Definitely Not,,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,The Girl On Reception Did Her Job Well. Waiters I Think Came From Falti Towers.,Agree,Agree,Neither Agree Nor Disagree,,No,Yes,,,,Disagree,Disagree,Disagree,Disagree,,,,,,Agree,Disagree,Disagree,,Disagree,Agree,Agree,Could Have Done Better,,,Male,45-54,,,,,,,,,,
403,Complete,31/05/2013 19:36,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Good,Maybe,No,,Agree,Agree,Neither Agree Nor Disagree,,Agree,Neither Agree Nor Disagree,Agree,,Yes,Yes,Restaurant,,,Agree,Disagree,Disagree,Disagree,We Were Staying On A Dinner  Bed And Breakfast Rate. We Weren't Told On Booking That The Dinner Was The Tasting Menu. When I Questioned This On The Evening I Had A Very Poor Response. We Were Eventually Allowed To Have The A La Carte Menu. The Food Was Very Good In The End  Service Was Average. Breakfast Was Good But Service Was Very Poor. Unprofessional And Loud Waiter And Another Young Waiter Who Got My Husbands Order Wrong Twice. We Gave Up Correcting Him In The End.,,,,,Disagree,Disagree,Neither Agree Nor Disagree,,Agree,Agree,Agree,Could Have Done Better,Room  Hotel Itself And Food Were Very Good. Service Overall Was Disappointing.,,Female,35-44,,,,,,,,,,
414,Complete,15/05/2013 13:51,Wedding Or Civil Partnership,,Recommendation/Word Of Mouth,,,,,,,,,Other: Travelzoo,Other: Travelzoo,Good,No,Maybe,,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Rosie And Warren Were Both Very Helpful And Fast At Answering My Questions Via Email,Agree,Agree,Strongly Agree,51 I Would Have Expected Bath Robes In A Hotel Such As This,Yes,Yes,Restaurant,,,Disagree,Disagree,Disagree,Agree,Staff Were Not Very Attentive  All Seemed A Bit Bored. The Barman Was Excellent  And Was Much More The Quality We Expected Of The Staff. No One Was Rude  But Just Lacked Any Hint Of Enthusiasm. The Courses Were All Very Pleasant  But By No Means 'Excellent'. The Sweetbreads With The Pork Were Genuinely Revolving  Squidgy In The Middle  And I Feel  Ruined The Rest Of The Meal For Us.  The Restaurant Itself Is Very Pleasant,,,,,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,The Barman Was Excellent. The Gentleman Who Served Us Breakfast Was Very Attentive.,Disagree,Disagree,Agree,Could Have Done Better,At Checkout Time  One Member Of Staff Was Checking People Out And Answering The Phone At The Same Time. I Waited About 15 Mins To Check Out.,No,Female,25-34,,,,,,,,,King,
452,Complete,13/07/2013 18:41,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Fair,No,No,,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,All Contact Was Very Pleasant,Disagree,Agree,Agree,Our Bedroom Was Fine But Our Friends In 24 Had No Cross Ventilation And It Was Very Hot. The Rooms 23 And 24 Were Nice But Very Expensive For Their Size.,Yes,Yes,,,,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,It Was Very Hard To Get The Waiters Attention And It Was Funny To Begin With But Irritating By Our Second Meal. Service Was Fine At Breakfast.,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Complete,12/08/2013 17:56,Leisure,,,,,,,,,,,Other: Travelzoo,Called Direct,Good,Definitely Yes,Definitely Yes,,Strongly Agree,Strongly Agree,Strongly Agree,The Gentleman Who Booked Us In Was Very Welcoming  Professional And Friendly,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Yes,Restaurant,,,Agree,Disagree,Disagree,Strongly Agree,We Actually Found The Atmosphere Between The Staff At Dinner Very Strained And Heard The Head Waiter Telling Off One Of The Other Staff. There Was A Long Wait Before Our Wine And Food Order Was Taken. The Head Waiter Saw My Husband Go To Fill My Wine Glass After It Had Been Sat Empty For A While And He Actually Snatched The Bottle Off My Husband To Pour It For Me  We Weren't Very Impressed. It Wasn't Very Friendly At All In The Restaurant And It Wasn't A Very Enjoyable Experience. The Staff Should Smile More And At Least Try And Make People Feel Welcome. Breakfast Was Totally Different And The Girls In There Were Really Smiley And Efficient,,,,,Agree,Agree,Agree,The Gentleman Who Booked Us In Was Fabulous And The Ladies At Breakfast Were Lovely,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Met,The Restaurant Experience Could Have Been A Lot Better And Is One Of The Worst I Have Had Ever Had As In The Head Waiter Didn't Smile Or Connect With Us Once.,We Did Tell Reception Of Our Experience,Female,45-54,,,,,,,,,Helen Marshall,... Please Select The Box
461,Complete,12/08/2013 17:32,Leisure,,,,,,,,,,,Other: Travelzoo,Called Direct,Good,Yes,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,The Gentleman At Reception Was Amazing Really Warm And Welcoming But Very Professional At The Same Time,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Yes,Restaurant,,,Agree,Disagree,Disagree,Strongly Agree,We Actually Found The Atmosphere Between The Staff At Dinner Very Strained And Heard The Head Waiter Telling Off One Og=F The Other Staff. There Was A Long Wait Before Our Wine And Food Order Was Taken. The Head Waiter Saw My Husband Go To Fill My Wine Glass After It Had Been Sat Empty For A While And He Actually Snatched The Bottle Off My Husband To Pour It For Me  We Weren't Very Impressed. It Wasn't Very Friendly At All In The Restaurant And It Wasn't A Very Enjoyable Experience. Breakfast Was Totally Different And The Girls In There Were Really Smiley And Efficient.,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Complete,04/10/2013 14:30,Leisure,Stayed Previously,,,,,,,,,,Other: Travelzoo,Other: ,Fair,Maybe,Maybe,,Agree,Strongly Agree,Agree,,Strongly Agree,Agree,Agree,,Yes,Yes,Restaurant,,,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Agree,On The Night We Stayed There Was A Large Party Booked From 8Pm.  This Had A Major Impact On The Level Of Service Regarding Our Meal  As Well As Others Who Were Dining At The Same Time As Ourselves.  One Of Our Main Courses Was Cold And Served Without The Side Dish.  The Side Dish Then Arrived.  The Dish Was Replaced After Some Time Without A Fresh Side Dish.  It Was Noted That Other People Dining At The Same Time Had Similar Problems  Even The Party Of 16!!!.  On Our Previous Stay The Dining Experience Had Been Very Good However.,,,,,Agree,Agree,Agree,,,Agree,Agree,Could Have Done Better,,,Male,45-54,,,,,,,,Special Offers,Duncan Mcarthur,
477,Complete,05/06/2013 13:20,Business/Meeting,Stayed Previously,,,,,,,,,,,Other: Came Into Hotel,Fair,No,Maybe,,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Very Pleasant Receptionist -Emily,Agree,Neither Agree Nor Disagree,Agree,We Stayed In Suite 3 - Unfortunately As A Result Of Your Kitchen Staff Talking Until 11.30Pm And A Piece Of Black Metal Sheet Near The Fire Escape Banged All Night (Because It Was Windy) The Person Sleeping On The Sofa Bed Did Not Sleep At All Well.,Yes,Yes,Restaurant,,,Disagree,Disagree,Disagree,Agree,Very Mixed Reaction To Food.  Lamb Asseite Was Full Of Fat And Largely Inedible.  Service Was Poor - Apart From Sven Who Really Was Very Welcoming - Nothing Was Too Much Trouble Unlike The Other Serving Staff.  Wrong Champagne Opened At Table - Finally Got A Replacement But By That Time We Were Half Way Through Our Starters.,,N/A,N/A,,Neither Agree Nor Disagree,Disagree,Disagree,Emily And Sven,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Could Have Done Better,Your Staff Need To Get Lessons From Sven And Emily In Customer Services,,Female,45-54,,,,,,,,,Sue Metcalfe,
488,Complete,20/09/2013 11:29,Leisure,,,,,,,,,,,Other: Blenheim Literary Festival Brochure,Called Direct,Good,Yes,Yes,,Agree,Agree,Agree,A Bit Chaotic On Arrival. But We Had A Lot Of Luggage And The Reception Area Is Cramped. The Porters Were Exceptionally Helpful.,Agree,Strongly Agree,Agree,,Yes,Yes,,,,Agree,Disagree,Disagree,Strongly Agree,The Food Was Good. The Waiter Was Pleasant -- But Service Really Was Very Slow And There Was A Mistake In Our Main Course Order Which Had To Be Rectified. This Caused Further Delays And Rather Spoiled The Overall Dinner  Though The Head Waiter Did His Best To Make Up For The Waiter's Error.,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Porter Who Helped With Our Bags On Arrival. Front Desk Reception.,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Met,Just Sharpen Up The Service At Dinner  I Think.,,Female,45-54,,,,,,,,,Mr & Mrs Alan Howard,... Please Select The Box
