Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - lewtrenchard manor emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Lewtrenchard.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At Lewtrenchard Manor?,15. Stay At Lewtrenchard Manor In The Future?,16. Recommend Lewtrenchard Manor To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At Lewtrenchard Manor?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Use The Spa Facilities?,28. Where Did You Dine? - Table D’Hôte,29. Where Did You Dine? - Tasting Menu,30. Where Did You Dine? - Bar Menu,31. Where Did You Dine? - Private Dining,32. Where Did You Dine? - Function Room,33. The Food Was Excellent,34. The Service Was Friendly & Professional,35. The Overall Dining Experience Was Exceptional,36. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Dining Venue?,37. Why Did You Visit The Spa At Lewtrenchard Manor?,38. The Staff Were Friendly And Professional,39. The Facilities Were Of A High Standard,40. The Overall Spa Experience Was Exceptional,41. The Quality Of The Treatments Were Of A High Standard,42. Do You Have Any Other Comments Regarding The Spa At Lewtrenchard Manor?,43. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),44. We Were Able To Access The Internet Easily,45. Refreshments Were Delivered As Requested,46. Our Business Meeting Requirements Were Met,47. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Business Venue?,48. Were Polite And Courteous At All Times,49. Were Attentive To My Needs,50. Made Me Feel Well Looked After,51. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,52. You Were Sad To Leave,53. The Final Account Was Accurate,54. How Did Your Experience With Us Meet With Your Expectations?,55. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,56. Do You Have Any Further Comments?,57. What Is Your Gender?,58. Which Of The Following Ranges Includes Your Age?,59. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Special Offers,60. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Accommodation,61. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Restaurant,62. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Weddings,63. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Events,64. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Conferences,65. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Relaxation Therapy,66. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Christmas,67. Please Complete The Following (Optional):,68. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
62,Complete,18/01/2014 10:37,Private Celebration,Stayed Previously,,,,,,,,,,,Called Direct,Good,Yes,Yes,Not As Wonderful As Previously To Be Completely Honest,Agree,Agree,Agree,We Have Stayed In Aurelia Previously But Sadly There Was An Issue With The Boiler And We Arrived To A Cold Room - Whilst Duncan Did All He Could To Sort As Quickly As Possible  It Didn't Live Up To The Warm And Cosy Afternoon We Had In Mind...................,Agree,Agree,Agree,Aurelia Is At The Back Of The Manor And Whilst We Appreciate Work Has To Be Done  It Is Not Ideal To Have Workers Right Next To Your Room And With Their Radio On............,Yes,,Table D’Hôte,,,,,Neither Agree Nor Disagree,Agree,Disagree,The Young Man Who Waited On Us (We Have Seen Previously)  Was Excellent. But  The Atmosphere In The Dining Room  We Felt  Lacked A Certain Atmosphere. You Find Yourself Having To Whisper As There Is No Background Music For Example. It Is Not A Massive Space And So I Think Most Guests Keep Their Voices Down And This Doesn't Create The Ideal Dining Situation.,,,,,,,,,,,,Agree,Agree,Agree,Jo On Reception Has Always Been Outstanding. From Our First Lunch Visit With You  Up Until Our Last Visit..........She Is A First Class Front Line Person And Does The Manor Proud - Excellent Choice Of First Point Of Contact.,Disagree,Strongly Agree,Fell Below,Provide The Warm  Tranquil Room We Had Hoped For.  Background Music Of Some Sort Would Be An Excellent Idea In The Dining/Bar/Drinking Areas,Keep Up All The Good Work - You Will Never Please Everybody But It Is A Fabulous Location And No Doubt  A Massive Expenditure To Keep It Looking The Way It Does. But The Manor Does Need Tlc And The Rooms That Have Been Refurbished Are Lovely. Bathrooms Are So Important In A Stay. ,Female,45-54,Special Offers,,,,Events,,,,Coral Fordham,
63,Partial,18/01/2014 12:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Complete,19/01/2014 08:05,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Good,Definitely Yes,Definitely Yes,Very Enjoyable With Good Service And Yet Discrete,Strongly Agree,Agree,Agree,,Agree,Neither Agree Nor Disagree,Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Met,Internal Features Of The Hotel Could Be Made Perhaps A Bit More Welcoming. Currently First Impression Is Rather Austere In Drawing Room Area. Perhaps A Few Books/Magazines And Afternoon Teas Etc Would Enhance It. The Wood Panelling Is Dark But The Paintwork Could Be Lightened?,A Very Nice Hotel Which I Enjoy Enormously. Could Make More Of The Lovely Grounds And Enhance The Ambience Of Some Internal Features.  Food Is Outstanding.  Not Entirely Clear Whether It Is Essentially A Comfortable Hotel With Excellent Restaurant Or Outstanding Restaurant With Reasonable Accommodation!!  The Food Currently Wins!!,Male,65+,,,,,,,,,Dr James Hill,
65,Complete,19/01/2014 12:03,Leisure,Stayed Previously,,,,,,,,,,And Booking.Com Originally,Called Direct,Excellent,Definitely Yes,Definitely Yes,A Great Place To "Drop Out" Of The Mad Rush Which Is Our Usual State. It Is So Nice To Feel That One Is A Part Of A Personal Business-Like Being A Guest At A Privat House-Party Rather Than At An Hotel. Just A Shame There Were Not More On The Second Night Of The New Year Break But More Than Made Up For By Our Friends Being Able To Have Dinner With Us.,Strongly Agree,Strongly Agree,Strongly Agree,Alwats A Friendly Response To Phone Calls.,Strongly Agree,Strongly Agree,Strongly Agree,The Shower In Nonnington Is Rather Small And It Is Difficult To Avoid Catching The Hot Tap.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Food Is Exceptional-When Do You Receive A Michelin Star? The Service Is Also Wonderful-The Right Balance Of Totally Professional But Friendly And Personal.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,They Are All Terrific!,Strongly Agree,Agree,Met,No  As We Knew Why We Were Coming Down To Lewtrenchard From Previous Visits And It Lived Up To The Previous Two Experiences.,We Look Forward To Our Next Visit Very Much.,Female,55-64,Special Offers,,,,,,Relaxation Therapy,,Helen Parkin,
66,Complete,19/01/2014 14:23,Leisure,Stayed Previously,,,,,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Yes,Yes,Really Lovely Rooms  Super-Helpful Staff - The Dining Experience Was A Disappointment This Time Around,Agree,Strongly Agree,Strongly Agree,I Did Email The Hotel Asking For Confirmation That Dinner Was Included In The Autumn Deal (This Was Not Clear From The Confirmation Email) But Did Not Receive A Reply,Strongly Agree,Strongly Agree,Strongly Agree,Cannot Remember - First Floor  Far Corner Of The Main House,Yes,,Table D’Hôte,,,,,Disagree,Disagree,Disagree,We Learnt The Next Day That We Had Dined On The Chef's Night Off. The Waiter Was Really Sweet But To Call Him Professional Would Be To Overstate Things,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Met,,We Will Be Back This Autumn As We Come Each Year To Shoot Nearby,Female,55-64,,,,,,,,,,
67,Complete,20/01/2014 04:08,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Good,Yes,Definitely Yes,,Strongly Agree,Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Nonington Was A Little Cold  The Radiator Does Not Work Well As The Hot Water Pipe Going Into The Radiator Is Incorrectly Connected To The Top Of The Radiator Instead Of The Bottom; As Hot Water Rises The Hot Water Just Forms A Small Layer On The Top Of The Radiator Instead Of Filling It.,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Agree,Strongly Agree,,Agree,Strongly Agree,Met,,,Male,65+,Special Offers,,Restaurant,,Events,,,,David Strickland,... Please Select The Box
68,Complete,24/01/2014 09:17,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,,,Bar Menu,,,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Neither Agree Nor Disagree,Strongly Agree,Met,,,Male,45-54,,,,,,,,,,
69,Complete,27/01/2014 15:35,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,Friendly And Efficient Welcome. Upgrade To Suite Was Very Much Appreciated  Room Was Beautiful. Bathroom A Little On The Small Side. Restaurant Meal And Service Was Excellent. I Did Find That The Restaurant Was A Little Too Quiet. Open Fires Made The Experience Very Relaxing. ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,Restaurant Was A Little Too Quiet.,,,,,,,,,,,,Strongly Agree,,Strongly Agree,The Gentleman Who Looked After Us In The Bar And Advised On The Whisky And Gin Was Very Friendly And Knowledgeable.,Strongly Agree,Strongly Agree,Exceeded,,,Male,45-54,Special Offers,,,,,,,,Richard Simpson,... Please Select The Box
70,Complete,30/01/2014 07:25,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,Very Welcoming In All Respects  Particularly Enjoyed Relaxing In Such An Historical And Interesting Place. ,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Agree,Agree,Very Peaceful And Comfortable.,No,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Thought The Manager Mr. Murray Very Courteous And He Took The Time To Have An Interesting Converstion About The Manor And His Life In South Africa.,Agree,Strongly Agree,Exceeded,,,Male,55-64,Special Offers,,,,,,,,Mr. J.P.Sankey,
71,Complete,30/01/2014 10:23,Business/Meeting,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,In My Top 5 Hotel Stays Ever... !,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,,,Bar Menu,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,Strongly Agree,,,,Strongly Agree,Strongly Agree,Strongly Agree,Jacob - Outstanding!,Strongly Agree,Strongly Agree,Exceeded,Perfect,Hope To Be Back With The Family,Male,55-64,,,,,,,,,Moyes,
72,Partial,03/02/2014 07:18,Leisure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Partial,05/02/2014 10:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Complete,05/02/2014 10:22,Private Celebration,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Excellent. Courteous Service  Excellent Food And Lovely Room. ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,The Shower In The Bathroom Was A Trickle. Not A Major Issue And Did Nothing To Detract From What Was An Excellent Stay But A Decent Shower Would Be Lovely.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,,Female,45-54,Special Offers,Accommodation,Restaurant,,,,Relaxation Therapy,Christmas,,
75,Complete,05/02/2014 10:46,Leisure,,,,,Www.Lewtrenchard.Co.Uk,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Other: ,Excellent,Definitely Yes,Definitely Yes,We Really Enjoyed Staying At What We Described As "The Tower Room"..Adjacent To The Main Building. It Was "Bijou"But Perfect For Us. Mr And Mrs Murray Senior Always Seemed To Be Around..Both During The Evening And Again The Following Morning..Which Gave Things The Air Of A Private Houseparty..Unusual But Fun! We Thought That The Menu For Our Evening Meal Was Very Interesting And The Food Was Excellent. It Was A Lovely Short Winter Break.,Strongly Agree,Strongly Agree,Strongly Agree,Everything Was Fine.,Agree,Agree,Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Mr And Mrs Murray Were Delightful. All Staff Members Were Friendly And Couteous,Strongly Agree,Strongly Agree,Exceeded,,,Male,45-54,Special Offers,,,,Events,,,,Gary Watson,
76,Complete,05/02/2014 11:33,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Excellent,Yes,Definitely Yes,Warm And Welcoming  Extremely Comfortable,Strongly Agree,Strongly Agree,Strongly Agree,Put Sign At Junction Of Main Road And First Turning To Left(Travelling From The East) To Read: Lewtrenchard Manor Hotel Take Next Left Hand Turning. My Gps And That Of Several Of My Chums Took Me Via The Back Door Route Which Caused Some Angst On A Dark And Rainy Night. ,Strongly Agree,Strongly Agree,Strongly Agree,Nice To Experience A Fully Workable Shower. Lighting Too Was Exceptionally Good,Yes,,Table D’Hôte,,,,,Disagree,Strongly Agree,Agree,I Did Not Enjoy The Food  Far Too Fussy And Hard To Establish From The Since I Have Used Your Name In Vain Thought That You May Wish To See The Below Sent To All Members Who Joined In 2013.   Your    Rupert     From: Rupert Lendrum  Sent: 17 December 2013 16:15 Subject: To New Members 2013   Dear 2013 ‘Joiner’    The Board Are Absolutely Delighted That You Joined Buck's In 2013 And They Hope That You Are Enjoying Your Membership.   I Am Sure That There Are Still A Few Questions About Membership That Perhaps Remain Unanswered  Or Indeed Any Other Question That You May Wish To Pose. I Am Always Very Keen To Help In Making Your Club The Place That You Like To Come To But I Can Only Do That By Listening (And Watching) And Absorbing Suggestions And Feedback. Please Do Not Ever Hesitate To Contact Me About Any Aspect Of The Club And Being A Member Of The Club That You Think Needs Addressing. By Email Is Completely Fine Or My Direct Line Is 020 7292 2905.   One Of The Questions That I Am Often Asked Is The Procedure For New Candidates. Please Absolutely Do Not Be Hesitant In Proposing Candidates; There Is No Imposed Time Limit Before Which You Can Propose A Candidate. You Would Be Amazed That Some Clubs Impose A Time Limit Of Between 2-5 Years Before A New Member Can Propose A Candidate. Not At Buck's! It Is Not Simply A Question Of Wanting More Members (Always Welcome) But What I Expect May Be Important To You Is To Have The Ability To Propose Your Friends. After All A Club Full Of Friends Is Much More Fun! Please Also Remember That There Is No Joining Or Entrance Fee Nor Is There (Yet) A Waiting List.   As Of 1 January The Number Of Members Will Be About 610 Which Is Really Fantastic And I Expect That At The End Of 2014 The Total Will Be In The Region Of 650  Probably More If The Upwards Trend Continues.   Anyway  I Really Do Hope That  Whenever You Joined This Year  Not Only Have You Been Able To Take Advantage Of The Club And Perhaps Some Of The External Activities But Also That Above All You Are Happy To Be A Member And Are Enjoying It!   From All The Staff  And From Me In Particular  We Wish You A Fantastically Enjoyable Christmas And A Superlative 2014. We Look Forward To Seeing You Here Very Soon (And Some Of You Tomorrow!)   Yours    Rupert     P.S. Some Of You Will Read About From Me Or Hear Of A Member Called Jolyon Fitzgibbon. He Is Entirely Fictitious!         Major Rupert Lendrum Secretary Buck's Club 18 Clifford Street London W1s 3Rf Club: 020 7734 2337 Direct: 020 7292 2905 Fax: 020 7287 2097 Secretary@Bucksclub.Co.Uk    ______________________________________________________________________ This Email Has Been Scanned By The Symantec Email Security.Cloud Since I Have Used Your Name In Vain Thought That You May Wish To See The Below Sent To All Members Who Joined In 2013.   Your    Rupert     From: Rupert Lendrum  Sent: 17 December 2013 16:15 Subject: To New Members 2013   Dear 2013 ‘Joiner’    The Board Are Absolutely Delighted That You Joined Buck's In 2013 And They Hope That You Are Enjoying Your Membership.   I Am Sure That There Are Still A Few Questions About Membership That Perhaps Remain Unanswered  Or Indeed Any Other Question That You May Wish To Pose. I Am Always Very Keen To Help In Making Your Club The Place That You Like To Come To But I Can Only Do That By Listening (And Watching) And Absorbing Suggestions And Feedback. Please Do Not Ever Hesitate To Contact Me About Any Aspect Of The Club And Being A Member Of The Club That You Think Needs Addressing. By Email Is Completely Fine Or My Direct Line Is 020 7292 2905.   One Of The Questions That I Am Often Asked Is The Procedure For New Candidates. Please Absolutely Do Not Be Hesitant In Proposing Candidates; There Is No Imposed Time Limit Before Which You Can Propose A Candidate. You Would Be Amazed That Some Clubs Impose A Time Limit Of Between 2-5 Years Before A New Member Can Propose A Candidate. Not At Buck's! It Is Not Simply A Question Of Wanting More Members (Always Welcome) But What I Expect May Be Important To You Is To Have The Ability To Propose Your Friends. After All A Club Full Of Friends Is Much More Fun! Please Also Remember That There Is No Joining Or Entrance Fee Nor Is There (Yet) A Waiting List.   As Of 1 January The Number Of Members Will Be About 610 Which Is Really Fantastic And I Expect That At The End Of 2014 The Total Will Be In The Region Of 650  Probably More If The Upwards Trend Continues.   Anyway  I Really Do Hope That  Whenever You Joined This Year  Not Only Have You Been Able To Take Advantage Of The Club And Perhaps Some Of The External Activities But Also That Above All You Are Happy To Be A Member And Are Enjoying It!   From All The Staff  And From Me In Particular  We Wish You A Fantastically Enjoyable Christmas And A Superlative 2014. We Look Forward To Seeing You Here Very Soon (And Some Of You Tomorrow!)   Yours    Rupert     P.S. Some Of You Will Read About From Me Or Hear Of A Member Called Jolyon Fitzgibbon. He Is Entirely Fictitious!         Major Rupert Lendrum Secretary Buck's Club 18 Clifford Street London W1s 3Rf Club: 020 7734 2337 Direct: 020 7292 2905 Fax: 020 7287 2097 Secretary@Bucksclub.Co.Uk    ______________________________________________________________________ This Email Has Been Scanned By The Symantec Email Security.Cloud Service. For More Information Please Visit Http://Www.Symanteccloud.Com ____ I Did Not Enjoy The Food Which I Found Much Too Fussy. The Presentation Was So Artistic It Was Hard To Establish Just What Was On The Fork.Also The Chef Uses Far Too Much Salt.And Why Must Meat Be So Rare.My Preference Is Always For Good Plain English Cooking With A French Twist.Even The Connaught Grill Is Reverting To To This After Several Years Of Nouveau- Diners Usually Express Joy But After One Experience So Often Did Not Come Back. In Making These Comments It Is Fair To Say That The Other Members Of The Buck's Club Shoot Were Delighted With The Food!  ______________________________________________________________________,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Exceeded,Food!,Will Be Back,Male,65+,Special Offers,Accommodation,,,,,,,Patrick ,
77,Complete,05/02/2014 11:33,Leisure,,,,,,,Magazine/Newspaper Article,,,,,Other: Booking.Com,Excellent,Definitely Yes,Definitely Yes,A Very Personal Service. Nothing Is Too Much Trouble For The Staff To Do For Guests And Their Dogs.,Strongly Agree,Strongly Agree,Strongly Agree,We Were Given A Very Warm Welcome And Offered Help On Our Arrival,Strongly Agree,Strongly Agree,Strongly Agree,If I Was Forced To Make A Negative Comment I Would Say The Shower Was A Little Weak But We Had A Great Time And Look Forward To Visiting Again,Yes,,,Tasting Menu,,,,Strongly Agree,Strongly Agree,Strongly Agree,We Had A Fantatic Dining Experience. Definately Dine There On Our Next Stay,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Actually All The Staff And The Owners Made Us Feel Welcome. A Place You Imediately Relax In And Feel At Home.,Strongly Agree,Strongly Agree,Exceeded,No,The Times Article Was Accurate. We Are Very Pleased We Stayed And Dined At Lewtrenchard.,Male,55-64,Special Offers,Accommodation,Restaurant,,Events,,,,David Svenson,
78,Complete,05/02/2014 11:35,Leisure,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Wonderful Experience  Great Hospitality. Quality And Style Throughout The Hotel Is Superb. We Opted For A Tasting Menu Which Was Well Served  Well Presented And Most Importantly Very Tasty! We Would Give This Hotel Our Top Recommendation On All Fronts.,Strongly Agree,Strongly Agree,Strongly Agree,We Were Greeted By Reception Staff Who Insisted On Carrying Our Luggage To Our Bedroom  Which Was Very Nice. All Serving Staff Were Very Professional But Also Friendly  A Very Good Balance.,Strongly Agree,Strongly Agree,Strongly Agree,St Gertrude Suite.....A Must!!,Yes,,,Tasting Menu,,,,Strongly Agree,Strongly Agree,Strongly Agree,As Previous Comments,,,,,,,,,,,,Strongly Agree,Strongly Agree,,As Previous Commnets,Strongly Agree,Strongly Agree,Exceeded,Two Nights For The Price Of One?,,Male,65+,Special Offers,,,,,,,,Paul Huggins,
79,Complete,05/02/2014 12:30,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Apart From The Commercial Aspect - Discretely Handled By Your Staff - It Was Very Similar To Staying At A Friend's Excellently Run Country House.   We Shall Be Back Before The End Of The Month.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,We Were In Nonington.  It Would Be Nice To Have Tea And Coffee Making Facilities In The Room.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,Your Chef Has A Real Flair With Fish ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No. The Standard Of All The Staff Was Very High.,Strongly Agree,Strongly Agree,Exceeded,As I Said Earlier  Tea And Coffee Making Facilities In The Room Would Be Very Welcome.,,Male,65+,Special Offers,,,,Events,,,,John Greaves,
80,Complete,05/02/2014 12:59,Leisure,,,,,,,Magazine/Newspaper Article,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,A Relaxing Stay With Good Food And Friendly Service,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Strongly Agree,,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Met,,,Male,55-64,Special Offers,,,,,,,,Dr Reg Paley,
81,Complete,05/02/2014 14:21,Other: Relaxing Night And Chill,,,,,,,,,,Trip Advisor,,Other: ,Excellent,Yes,,Beautiful Place  Lovely Staff  Very Relaxing. Left With A Happy Wife Many Thanks,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Melton. Beautiful Room With 4 Poster Bed  Would Have Liked Coffee And Kettle In The Room Only A Minor Thing And Didn't Cause Any Problem For Us,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Sorry Didn't Get The Name Of The Tall Young Man In A Suit With Dark Hair .He Made Every Effort For Us And Nothing Was To Much Trouble It Was A Pleasure To Be Served By Him.,Strongly Agree,Strongly Agree,Exceeded,,,Male,55-64,Special Offers,,,,Events,,Relaxation Therapy,Christmas,Paul Keeler,
82,Partial,05/02/2014 14:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Complete,05/02/2014 15:31,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,Trip Advisor,,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,We Were Made To Feel Very Welcome And As If Nothing Would Be Too Much Trouble. The Atmosphere Was Relaxing And All The Staff Were Polite And Friendly. Our Room Was Very Comfortable And Quiet. The Food Was Excellent.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Very Comfortable Bed And The Room Wasn't Too Hot As Is Often The Case In Hotels.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Food Was Wonderful. All Courses Were Beautifully Presented And Everything Was Well Cooked. There Was A Good  Choice Of Dishes And Menu Changes Each Day.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,,Female,45-54,Special Offers,,,,,,,,Helen Shapland,
84,Complete,06/02/2014 05:23,Private Celebration,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,It Was Very Relaxed  A Perfect Way To Celebrate And Catch Up With Family In An Unhurried Fashion!!  I Couldn't Have Wished For Anything More - It Was Wonderful And We All Want To Come Back!!  Thank You So Much.,Strongly Agree,Strongly Agree,Strongly Agree,No - It Was Excellent Prior To Arrival And On Arrival And Sorting Out The Various Rooms And Meeting The Needs Of The Occupants I.E. My Father Who Was Meant To Be In The Four Poster But Wouldn't Have Managed Its Height - But My Daughter Loved It!!!,Strongly Agree,Strongly Agree,Strongly Agree,I Suppose  The Only Down Side Was The Shower!  In The Evening Before Dinner There Was No Pressure In Our Room And In Henrietta's Room  Resulting In Her Having To Wash Her Hair Under The Tap.  In The Morning It Was Fine.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,It Was Absolutely Wonderful.  None Of Us Could Fault It.  The Flavours Were Superb - The Additional Courses Were Great And The Marshmallow Is Still Being Mentioned!!!    You Couldn't Have Served A Nicer Meal For Us.  Also  I Would Like To Thank You For The Happy Birthday Chocolates Which Were Very Much Appreciated.  ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Everybody Was Very Friendly - Even The Lady Cleaning Who Very Kindly Offered To Get A Key For Our Room When I Had Thought Marcus Was In There And Wasn't!!,Strongly Agree,Strongly Agree,Exceeded,No - It Was Perfect!!! ,I Wish We Had Found You Sooner.  ,Female,45-54,Special Offers,,,,,,,,Sue Wilkinson,
85,Complete,06/02/2014 07:03,Private Celebration,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,We Were Made Most Welcome And Enjoyed Our Beautiful Room - Warrington. The Food Was Excellent. A Beautiful Hotel And Conveniently Close To Home!,Strongly Agree,Strongly Agree,Strongly Agree,No - Really Pleasant Friendly Attention.,Strongly Agree,Strongly Agree,Strongly Agree,Warrington. I Think Some Sort Of Refreshment Facilities In The Room Would Be Perfect. We Stay Regularly At Bath Priory  Gidleigh Park  Hotel Endsleigh And Our Local Favorite Is At Coombe House Hotel. I Think Tea/Coffee And Homemade Biscuits In A Jar Would Be A Nice Touch.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Neither Agree Nor Disagree,Strongly Agree,Exceeded,,We Will Certainly Be Back  We Really Enjoyed Our Stay. Excellent Food  Very Comfortable Room.,Male,35-44,Special Offers,Accommodation,Restaurant,,,,,,Stuart Robertson & Tina Yardley,
86,Complete,06/02/2014 07:07,Business/Meeting,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
